Tren,Linia,A/D,PE,MG,IC,EU,GO,SP,LH
O001,S4,A,5:00,5:02,5:04,5:06,5:08,5:10,5:11
N401,R5,A,5:16,5:18,5:20,5:22,5:24,5:26,5:27
P401,R6,A,5:32,5:34,5:36,5:38,5:40,5:42,5:43
L001,L8,A,5:41,5:43,5:45,5:47,5:49,5:51,5:52
O003,S4,A,5:50,5:52,5:54,5:56,5:58,6:00,6:01
V001,S3,A,6:01,6:03,6:05,6:07,6:09,6:11,6:12
P403,R6,A,6:12,6:14,6:16,6:18,6:20,6:22,6:23
N403,R5,A,6:16,6:18,6:20,6:22,6:24,6:26,6:27
O005,S4,A,6:22,6:24,6:26,6:28,6:30,6:32,6:33
L003,L8,A,6:28,6:30,6:32,6:34,6:36,6:38,6:39
P405,R6,A,6:32,6:34,6:36,6:38,6:40,6:42,6:43
N405,R5,A,6:36,6:38,6:40,6:42,6:44,6:46,6:47
V003,S9,A,6:40,6:42,6:44,6:46,6:48,6:50,6:51
M001,S8,D,6:45,6:47,6:49,6:51,6:53,6:55,6:56
V005,S9,D,6:50,6:52,6:54,6:56,6:58,7:00,7:01
O007,S4,D,6:55,6:57,6:59,7:01,7:03,7:05,7:06
V007,S3,D,7:01,7:03,7:05,7:07,7:09,7:11,7:12
L005,L8,D,7:07,7:09,7:11,7:13,7:15,7:17,7:18
P407,R6,D,7:12,7:14,7:16,7:18,7:20,7:22,7:23
N407,R5,D,7:16,7:18,7:20,7:22,7:24,7:26,7:27
O009,S4,D,7:20,7:22,7:24,7:26,7:28,7:30,7:31
V009,S3,D,7:25,7:27,7:29,7:31,7:33,7:35,7:36
M003,S8,D,7:30,7:32,7:34,7:36,7:38,7:40,7:41
N409,R5,D,7:36,7:38,7:40,7:42,7:44,7:46,7:47
V011,S9,D,7:40,7:42,7:44,7:46,7:48,7:50,7:51
O011,S4,D,7:44,7:46,7:48,7:50,7:52,7:54,7:55
L007,L8,D,7:48,7:50,7:52,7:54,7:56,7:58,7:59
P409,R6,D,7:52,7:54,7:56,7:58,8:00,8:02,8:03
M213,S8,D,7:56,7:58,8:00,8:02,8:04,8:06,8:07
